Timestamp,GPU_Util_Percent,VRAM_Used_MB,PCIe_RX_MBs,PCIe_TX_MBs
20:02:28,0,4732.5,0.0,0.0
20:02:29,0,4732.5,0.0,0.0
20:02:30,0,4732.5,0.0,0.0
20:02:31,0,4732.5,0.0,0.0
20:02:32,0,4732.5,0.0,0.0
20:02:33,0,4732.5,0.0,0.0
20:02:34,0,4732.5,0.0,0.0
20:02:35,0,4732.5,0.0,0.0
20:02:36,0,4732.5,0.0,0.0
20:02:37,0,4732.5,0.0,0.0
20:02:38,0,4732.5,0.0,0.0
20:02:39,0,4732.5,0.0,0.0
20:02:40,0,4732.5,0.0,0.0
20:02:41,0,4732.5,0.0,0.0
20:02:42,0,4732.5,0.0,0.0
20:02:44,0,4732.5,0.0,0.0
20:02:45,0,4738.5,0.0,0.0
20:02:46,100,4738.5,0.02,0.0
20:02:47,100,4738.5,0.01,0.02
20:02:48,100,4738.5,0.02,0.01
20:02:49,100,4738.5,0.01,0.02
20:02:50,100,4738.5,0.01,0.0
20:02:51,100,4738.5,0.01,0.0
20:02:52,100,4738.5,0.01,0.0
20:02:53,100,4738.5,0.01,0.0
20:02:54,100,4738.5,0.01,0.0
20:02:55,100,4738.5,0.01,0.0
20:02:56,100,4738.5,0.01,0.0
20:02:57,100,4738.5,0.01,0.0
20:02:58,100,4738.5,0.01,0.0
20:02:59,100,4738.5,0.01,0.0
20:03:00,100,4738.5,0.01,0.0
20:03:01,100,4738.5,0.01,0.0
20:03:02,100,4738.5,0.01,0.0
20:03:03,100,4738.5,0.01,0.0
20:03:04,100,4738.5,0.01,0.0
20:03:05,100,4738.5,0.0,0.0
20:03:06,0,4738.5,0.0,0.0
20:03:08,0,4738.5,0.0,0.0
20:03:09,0,4738.5,0.0,0.0
20:03:10,0,4738.5,0.0,0.0
20:03:11,0,4738.5,0.0,0.0
20:03:12,0,4738.5,0.0,0.0
20:03:13,0,4738.5,0.0,0.0
20:03:14,0,4738.5,0.0,0.0
