timestamp,gpu_util_pct,gpu_mem_used_mb,cpu_util_pct,ram_used_mb,pcie_tx_mbps,pcie_rx_mbps
1785412949.7525427,0,5440.5625,12.0,10107.5625,0.71484375,0.4287109375
1785412950.2951498,0,5440.5625,4.3,10124.83203125,0.5244140625,0.380859375
1785412950.8379395,0,5440.5625,5.7,10152.41796875,0.5244140625,0.380859375
1785412951.380629,0,5440.5625,5.3,10158.71484375,0.5244140625,0.380859375
1785412951.9234724,0,5440.5625,4.1,10159.1796875,1.19140625,0.380859375
1785412952.4659538,0,5440.5625,7.8,10172.90234375,0.5244140625,0.380859375
1785412953.00855,0,5440.5625,6.1,10180.3359375,0.5244140625,0.380859375
1785412953.5511756,0,5440.5625,9.2,10180.96484375,0.5244140625,0.4287109375
1785412954.0940046,0,5440.5625,4.6,10183.296875,0.5712890625,0.380859375
1785412954.6387494,0,5440.5625,6.0,10184.26171875,0.5244140625,6.6279296875
1785412955.1815784,0,5440.5625,6.1,10190.8515625,0.5244140625,0.380859375
1785412955.7238529,0,5440.5625,5.3,10193.59375,9.25,1.1435546875
1785412956.2669141,0,5440.5625,2.9,10201.76171875,0.5244140625,0.380859375
1785412956.8094265,0,5440.5625,3.0,10202.82421875,1.62109375,1.4775390625
1785412957.352018,0,5440.5625,3.1,10206.7421875,0.5244140625,0.380859375
1785412957.8944976,0,5440.5625,4.4,10209.0234375,1.9072265625,5.005859375
1785412958.4372342,0,5440.5625,2.6,10237.66015625,1.1435546875,0.380859375
1785412958.979831,0,5440.5625,2.7,10162.46484375,5.9599609375,0.380859375
1785412959.5225692,0,5440.5625,2.5,10180.41015625,0.5244140625,0.380859375
1785412960.065205,0,5440.5625,2.5,10168.40625,0.5244140625,0.4287109375
1785412960.6077983,0,5440.5625,2.2,10168.87890625,0.5244140625,0.380859375
1785412961.150551,0,5440.5625,2.7,10169.75390625,0.5244140625,0.380859375
1785412961.6932042,0,5440.5625,2.2,10176.140625,0.5244140625,0.380859375
1785412962.2358055,0,5440.5625,2.4,10178.2734375,0.5244140625,0.380859375
1785412962.7787158,0,5440.5625,2.6,10175.53515625,0.6669921875,0.380859375
1785412963.3212342,0,5440.5625,4.5,10183.0234375,0.5244140625,0.4287109375
1785412963.8639345,0,5440.5625,6.2,10190.52734375,0.5244140625,0.4287109375
1785412964.4068499,0,5440.5625,3.5,10184.74609375,0.5244140625,0.4765625
1785412964.949619,0,5440.5625,3.0,10159.65625,0.5244140625,0.380859375
1785412965.492187,0,5440.5625,3.4,10168.44140625,0.5244140625,0.380859375
1785412966.0350232,0,5440.5625,5.5,10155.8671875,0.5712890625,0.380859375
