timestamp,gpu_util_pct,gpu_mem_used_mb,cpu_util_pct,ram_used_mb,pcie_tx_mbps,pcie_rx_mbps
1785322135.6501708,0,5474.5,8.7,10110.08203125,0.619140625,0.380859375
1785322136.1947885,0,5474.5,5.4,10108.1953125,0.5712890625,3.623046875
1785322136.7374787,0,5474.5,4.9,10112.09765625,0.5244140625,0.380859375
1785322137.2802677,0,5474.5,3.7,10045.43359375,0.4765625,7.486328125
1785322137.823221,0,5474.5,3.2,10047.1171875,0.5244140625,0.4765625
1785322138.3658507,0,5474.5,3.3,10049.04296875,8.9638671875,1.19140625
1785322138.908601,0,5474.5,4.2,10081.5234375,0.5244140625,0.380859375
1785322139.4512098,0,5474.5,3.3,10059.46484375,1.62109375,1.62109375
1785322139.9940884,0,5474.5,2.3,10057.375,0.5244140625,0.380859375
1785322140.536611,0,5474.5,2.1,10058.140625,2.193359375,4.9111328125
1785322141.0793762,0,5474.5,2.4,10055.06640625,0.619140625,0.380859375
1785322141.6225653,0,5474.5,21.7,10098.39453125,5.912109375,0.380859375
1785322142.164716,0,5474.5,10.4,10193.67578125,0.5712890625,0.380859375
1785322142.7066154,0,5474.5,11.1,10111.15625,0.5712890625,0.4287109375
1785322143.2490337,0,5474.5,6.8,10126.9140625,0.5712890625,0.380859375
1785322143.7913167,0,5474.5,5.9,10134.9453125,0.5244140625,0.4287109375
1785322144.3338444,0,5474.5,8.9,10059.12109375,0.4765625,0.4765625
1785322144.8758185,0,5474.5,5.0,10078.1875,0.5244140625,0.380859375
1785322145.418504,0,5474.5,4.3,10001.9140625,0.5244140625,0.380859375
1785322145.9611344,0,5474.5,3.2,10010.66015625,0.5244140625,0.380859375
1785322146.5038671,0,5474.5,1.9,10011.41796875,0.5244140625,0.380859375
1785322147.0463595,0,5474.5,3.5,10010.63671875,0.5244140625,0.380859375
1785322147.588799,0,5474.5,6.9,10134.18359375,0.4287109375,0.380859375
1785322147.7020633,0,5474.5,7.2,10076.515625,0.4765625,0.380859375
1785322148.2447271,0,5474.5,2.7,10078.3046875,0.5244140625,0.380859375
1785322148.7875073,0,5474.5,2.8,10083.41015625,0.5244140625,0.380859375
1785322149.3313253,0,5474.5,4.4,10083.53515625,5.2919921875,11.681640625
1785322149.874912,100,5474.5,6.2,10089.4296875,5.197265625,14.638671875
1785322150.4187222,100,5474.5,5.9,10094.3515625,6.341796875,13.16015625
1785322150.9610023,100,5474.5,7.0,10111.84375,3.384765625,12.015625
1785322151.5047252,100,5474.5,11.3,10115.140625,6.0078125,13.6845703125
1785322152.0483472,100,5474.5,6.1,10115.66015625,5.33984375,16.3076171875
1785322152.591405,100,5474.5,7.0,10116.21484375,3.3369140625,15.4970703125
1785322153.1344562,100,5474.5,6.7,10120.3515625,5.8642578125,13.16015625
1785322153.6777604,100,5474.5,7.2,10121.0546875,5.435546875,14.1142578125
1785322154.221792,100,5474.5,6.5,10122.3203125,5.435546875,14.9248046875
1785322154.7636566,100,5474.5,7.6,10094.52734375,2.8125,10.6806640625
