Timestamp,GPU_Util_Percent,VRAM_Used_MB,PCIe_RX_MBs,PCIe_TX_MBs
20:08:36,0,4732.5,0.0,0.0
20:08:37,0,4732.5,0.0,0.0
20:08:38,0,4732.5,0.0,0.0
20:08:39,0,4732.5,0.0,0.0
20:08:40,0,4732.5,0.0,0.0
20:08:41,0,4732.5,0.0,0.0
20:08:42,0,4732.5,0.0,0.0
20:08:43,0,4732.5,0.0,0.0
20:08:45,0,4732.5,0.0,0.0
20:08:46,0,4732.5,0.0,0.0
20:08:47,0,4732.5,0.0,0.0
20:08:48,0,4732.5,0.0,0.0
20:08:49,0,4732.5,0.0,0.0
20:08:50,0,4732.5,0.0,0.0
20:08:51,0,4732.5,0.0,0.0
20:08:52,0,4732.5,0.0,0.0
20:08:53,0,4732.5,0.0,0.0
20:08:54,0,4732.5,0.0,0.0
20:08:55,0,4732.5,0.0,0.0
20:08:56,0,4732.5,0.0,0.0
20:08:57,0,4732.5,0.0,0.0
20:08:58,0,4732.5,0.0,0.0
20:08:59,0,4732.5,0.0,0.0
20:09:00,0,4732.5,0.01,0.0
20:09:01,0,4732.5,0.0,0.01
20:09:02,0,4732.5,0.01,0.0
20:09:03,0,4732.5,0.0,0.01
20:09:04,0,4732.5,0.0,0.0
20:09:05,0,4732.5,0.0,0.0
20:09:06,0,4732.5,0.0,0.0
20:09:07,0,4732.5,0.0,0.0
20:09:09,0,4732.5,0.0,0.0
20:09:10,0,4732.5,0.0,0.0
20:09:11,0,4732.5,0.0,0.0
20:09:12,0,4732.5,0.0,0.0
20:09:13,0,4738.5,0.01,0.0
20:09:14,100,4738.5,0.01,0.0
20:09:15,100,4738.5,0.02,0.0
20:09:16,100,4738.5,0.01,0.0
20:09:17,100,4738.5,0.01,0.0
20:09:18,100,4738.5,0.01,0.0
20:09:19,100,4738.5,0.01,0.0
20:09:20,100,4738.5,0.01,0.0
20:09:21,100,4738.5,0.01,0.0
20:09:22,100,4738.5,0.01,0.0
20:09:23,100,4738.5,0.01,0.0
20:09:24,100,4738.5,0.01,0.0
20:09:25,100,4738.5,0.01,0.0
20:09:26,100,4738.5,0.01,0.0
20:09:27,100,4738.5,0.01,0.0
20:09:28,100,4738.5,0.01,0.0
20:09:29,100,4738.5,0.01,0.0
20:09:30,100,4738.5,0.01,0.0
20:09:31,100,4738.5,0.01,0.0
20:09:33,100,4738.5,0.01,0.0
20:09:34,100,4738.5,0.01,0.0
20:09:35,100,4738.5,0.01,0.0
20:09:36,100,4738.5,0.01,0.0
20:09:37,100,4738.5,0.01,0.0
20:09:38,100,4738.5,0.01,0.0
20:09:39,100,4738.5,0.01,0.0
20:09:40,100,4738.5,0.01,0.0
20:09:41,100,4738.5,0.01,0.0
20:09:42,100,4738.5,0.01,0.0
20:09:43,100,4738.5,0.02,0.0
20:09:44,100,4738.5,0.01,0.01
20:09:45,0,4738.5,0.0,0.0
20:09:46,0,4738.5,0.01,0.0
20:09:47,0,4738.5,0.0,0.01
20:09:48,0,4738.5,0.0,0.0
20:09:49,0,4738.5,0.0,0.0
20:09:50,0,4738.5,0.0,0.0
20:09:51,0,4738.5,0.0,0.0
20:09:52,0,4738.5,0.0,0.0
