timestamp,gpu_util_pct,gpu_mem_used_mb,cpu_util_pct,ram_used_mb
1785409098.9715328,0,5328.5625,7.7,10941.72265625
1785409099.4721866,0,5328.5625,12.0,10943.15234375
1785409099.9727495,0,5328.5625,8.7,10946.21875
1785409100.473395,0,5328.5625,7.4,10944.44921875
1785409100.9739392,0,5328.5625,6.9,10945.390625
1785409101.474549,0,5328.5625,5.8,10952.27734375
1785409101.975084,0,5328.5625,5.0,10947.109375
1785409102.475688,0,5328.5625,6.1,10945.84375
1785409102.9762547,0,5328.5625,4.5,10946.11328125
1785409103.4778173,0,5328.5625,8.6,10964.625
1785409103.9781127,0,5328.5625,23.5,11200.99609375
1785409104.478423,0,5328.5625,10.5,11264.890625
1785409104.9787138,0,5328.5625,8.8,11324.0234375
1785409105.4789824,0,5328.5625,6.5,11365.71875
1785409105.9792428,0,5328.5625,7.0,11398.75390625
1785409106.4795084,0,5328.5625,6.8,11430.12890625
1785409106.9799922,0,5328.5625,6.6,11441.234375
1785409107.480556,0,5328.5625,6.9,11446.6875
1785409107.9810874,0,5328.5625,8.3,11450.3515625
1785409108.4817047,0,5328.5625,6.6,11442.40234375
1785409108.9820948,0,5328.5625,7.1,11495.46484375
1785409109.4823368,0,5328.5625,10.0,11598.234375
1785409109.9828167,0,5328.5625,6.0,11609.09375
1785409110.483423,0,5328.5625,7.3,11614.40625
1785409110.983758,42,5328.5625,8.6,11698.921875
1785409111.4842322,100,5328.5625,9.0,11688.59765625
1785409111.9844887,100,5328.5625,7.3,11680.890625
1785409112.4848056,100,5328.5625,8.4,11717.48828125
1785409112.9851735,100,5328.5625,9.5,11677.4296875
1785409113.4855099,100,5328.5625,15.0,11695.890625
1785409113.9858098,100,5328.5625,11.3,11673.80859375
1785409114.4863055,100,5328.5625,9.0,11687.421875
1785409114.9865832,100,5328.5625,10.0,11450.07421875
1785409115.4868407,100,5328.5625,8.7,11497.828125
1785409115.987146,100,5328.5625,9.1,11495.0078125
1785409116.48744,100,5328.5625,10.9,11550.515625
1785409116.9879115,100,5328.5625,8.9,11571.51171875
1785409117.4882925,100,5328.5625,11.5,11707.2734375
1785409117.9885936,100,5328.5625,11.7,11418.0625
1785409118.4889572,100,5328.5625,8.4,11457.3515625
1785409118.9893675,0,5328.5625,8.0,11201.4296875
1785409119.4896853,0,5328.5625,8.5,10688.0546875
1785409119.9902604,0,5328.5625,4.5,10704.39453125
1785409120.4908433,0,5328.5625,5.5,10722.47265625
1785409120.9914436,0,5328.5625,6.7,10709.81640625
1785409121.4920213,0,5328.5625,6.2,10702.32421875
1785409121.9924958,0,5328.5625,4.3,10704.49609375
1785409122.4931188,0,5328.5625,7.2,10719.97265625
1785409122.9936182,0,5328.5625,6.6,10727.84375
1785409123.4941344,0,5328.5625,6.4,10724.16015625
1785409123.9946973,0,5328.5625,4.3,10741.44140625
1785409124.4954107,0,5328.5625,5.4,10736.796875
1785409124.9959188,0,5328.5625,3.3,10727.90625
1785409125.4964347,0,5328.5625,4.2,10730.21484375
1785409125.9967432,0,5328.5625,3.8,10737.2890625
1785409126.4972873,0,5328.5625,4.1,10742.5859375
