Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
67.9,33927,2,16963.5,16963.5,16835,17092,181.7,[CUDA memcpy Host-to-Device]
32.1,16067,1,16067.0,16067.0,16067,16067,0.0,[CUDA memcpy Device-to-Host]
