Timestamp,GPU_Util_Percent,VRAM_Used_MB,PCIe_RX_MBs,PCIe_TX_MBs
20:21:34,0,4732.5,0.0,0.0
20:21:35,0,4732.5,0.0,0.0
20:21:36,0,4732.5,0.0,0.0
20:21:37,0,4732.5,0.0,0.0
20:21:38,0,4732.5,0.0,0.0
20:21:39,0,4732.5,0.0,0.0
20:21:40,0,4732.5,0.0,0.0
20:21:41,0,4732.5,0.0,0.0
20:21:42,0,4732.5,0.0,0.01
20:21:43,0,4732.5,0.0,0.0
20:21:44,0,4732.5,0.01,0.0
20:21:45,0,4732.5,0.0,0.01
20:21:46,0,4732.5,0.0,0.0
20:21:47,0,4732.5,0.0,0.0
20:21:48,0,4732.5,0.0,0.0
20:21:49,0,4732.5,0.0,0.0
20:21:50,0,4732.5,0.0,0.0
20:21:51,0,4732.5,0.0,0.0
20:21:52,0,4732.5,0.0,0.0
20:21:53,0,4732.5,0.0,0.0
20:21:54,0,4732.5,0.0,0.0
20:21:55,0,4732.5,0.0,0.0
20:21:57,0,4732.5,0.0,0.0
20:21:58,0,4732.5,0.0,0.0
20:21:59,0,4732.5,0.0,0.0
20:22:00,0,4732.5,0.0,0.0
20:22:01,0,4732.5,0.0,0.0
20:22:02,0,4732.5,0.0,0.0
20:22:03,0,4732.5,0.0,0.0
20:22:04,0,4732.5,0.0,0.0
20:22:05,0,4732.5,0.0,0.0
20:22:06,0,4732.5,0.0,0.0
20:22:07,0,4732.5,0.0,0.0
20:22:08,99,4738.5,0.03,0.0
20:22:09,100,4738.5,0.01,0.0
20:22:10,100,4738.5,0.01,0.0
20:22:11,100,4738.5,0.01,0.0
20:22:12,100,4738.5,0.01,0.0
20:22:13,100,4738.5,0.01,0.0
20:22:14,100,4738.5,0.01,0.0
20:22:15,100,4738.5,0.01,0.0
20:22:16,100,4738.5,0.01,0.0
20:22:17,100,4738.5,0.01,0.0
20:22:18,100,4738.5,0.01,0.0
20:22:19,100,4738.5,0.01,0.0
20:22:21,100,4738.5,0.01,0.0
20:22:22,100,4738.5,0.01,0.0
20:22:23,100,4738.5,0.01,0.0
20:22:24,100,4738.5,0.01,0.0
20:22:25,100,4738.5,0.01,0.0
20:22:26,100,4738.5,0.02,0.0
20:22:27,100,4738.5,0.01,0.01
20:22:28,100,4738.5,0.01,0.01
20:22:29,100,4738.5,0.02,0.01
20:22:30,100,4738.5,0.01,0.0
20:22:31,100,4738.5,0.01,0.0
20:22:32,100,4738.5,0.01,0.0
20:22:33,100,4738.5,0.01,0.0
20:22:34,100,4738.5,0.01,0.0
20:22:35,100,4738.5,0.01,0.0
20:22:36,100,4738.5,0.01,0.0
20:22:37,100,4738.5,0.01,0.0
20:22:38,100,4738.5,0.01,0.0
20:22:39,100,4738.5,0.01,0.0
20:22:40,100,4738.5,0.01,0.0
20:22:41,100,4738.5,0.01,0.0
20:22:42,100,4738.5,0.01,0.0
20:22:43,100,4738.5,0.01,0.0
20:22:45,100,4738.5,0.01,0.0
20:22:46,100,4738.5,0.01,0.0
20:22:47,100,4738.5,0.01,0.0
20:22:48,100,4738.5,0.01,0.0
20:22:49,100,4738.5,0.01,0.0
20:22:50,100,4738.5,0.01,0.0
20:22:51,100,4738.5,0.01,0.0
20:22:52,100,4738.5,0.01,0.0
20:22:53,100,4738.5,0.01,0.0
20:22:54,100,4738.5,0.01,0.0
20:22:55,100,4738.5,0.0,0.0
20:22:56,0,4738.5,0.0,0.0
20:22:57,0,4738.5,0.0,0.0
20:22:58,0,4738.5,0.0,0.0
20:22:59,0,4738.5,0.0,0.0
20:23:00,0,4738.5,0.0,0.0
20:23:01,0,4738.5,0.0,0.0
20:23:02,0,4738.5,0.0,0.0
20:23:03,0,4738.5,0.0,0.0
