timestamp,gpu_util_pct,gpu_mem_used_mb,cpu_util_pct,ram_used_mb,pcie_tx_mbps,pcie_rx_mbps
1785402759.6840024,0,5818.5,4.9,9477.6015625,0.5244140625,0.380859375
1785402760.2264261,0,5818.5,3.2,9488.4296875,0.5244140625,0.380859375
1785402760.7689257,0,5818.5,3.2,9494.74609375,0.5244140625,0.4287109375
1785402761.311646,0,5818.5,2.8,9502.05078125,0.5244140625,0.380859375
1785402761.8544858,0,5818.5,6.0,9499.56640625,0.4765625,0.380859375
1785402762.3975613,0,5818.5,1.1,9501.08984375,0.5244140625,0.380859375
1785402762.9404583,0,5818.5,0.9,9499.0,0.5244140625,0.4287109375
1785402763.4829886,0,5818.5,1.7,9501.76171875,0.619140625,0.380859375
1785402764.0253727,0,5818.5,1.0,9500.34765625,0.5244140625,0.380859375
1785402764.5684397,0,5818.5,1.7,9500.87890625,0.5244140625,0.380859375
1785402765.1117582,0,5818.5,0.7,9498.40625,0.5712890625,0.380859375
1785402765.654324,0,5818.5,1.3,9499.2734375,0.4765625,0.380859375
1785402766.1973488,0,5818.5,1.6,9496.76171875,0.5244140625,0.3330078125
1785402766.739918,0,5818.5,0.9,9494.72265625,0.5244140625,0.3330078125
1785402767.2828703,0,5818.5,0.6,9497.359375,0.5244140625,0.380859375
1785402767.825918,0,5818.5,0.6,9497.359375,0.4765625,0.3330078125
1785402768.3689246,0,5818.5,0.7,9494.984375,0.5244140625,0.3330078125
1785402768.9118965,0,5818.5,0.7,9511.78515625,0.5244140625,0.4765625
1785402769.4551308,0,5818.5,0.6,9484.8671875,0.619140625,0.3330078125
1785402769.997909,0,5818.5,0.8,9485.11328125,0.5244140625,0.380859375
1785402770.5404794,0,5818.5,2.2,9497.046875,0.5244140625,0.380859375
1785402771.0829833,0,5818.5,22.7,9752.5546875,0.5712890625,0.4287109375
1785402771.6252093,0,5818.5,5.6,9802.46875,0.5244140625,0.380859375
1785402772.1672435,0,5818.5,5.4,9772.890625,0.5712890625,0.4287109375
1785402772.712615,0,5818.5,5.4,9820.55859375,4.625,1.2392578125
1785402773.2559342,0,5818.5,5.6,9963.546875,0.4765625,0.380859375
1785402773.7987003,0,5818.5,1.3,9960.4609375,1.5732421875,1.525390625
1785402774.3416882,0,5818.5,1.0,9962.73046875,0.5244140625,0.380859375
1785402774.8844428,0,5818.5,0.6,9962.9765625,2.09765625,4.8154296875
1785402775.4270604,0,5818.5,1.8,9969.02734375,0.9052734375,0.380859375
1785402775.9698737,0,5818.5,2.6,9994.01171875,5.8642578125,0.380859375
1785402776.5128198,0,5818.5,5.6,10218.0859375,0.5244140625,0.3330078125
1785402777.0556743,0,5818.5,1.7,10219.06640625,0.5244140625,0.4287109375
1785402777.5993483,0,5818.5,1.8,10219.0625,5.435546875,2.765625
1785402778.1421552,100,5818.5,3.9,10220.84765625,3.7666015625,6.9140625
1785402778.6855972,100,5818.5,3.7,10219.59765625,5.4833984375,12.68359375
1785402779.229148,100,5818.5,5.1,10220.375,5.578125,11.7294921875
1785402779.7714171,100,5818.5,4.7,10216.5,2.57421875,6.484375
1785402780.315228,100,5818.5,5.2,10218.44921875,5.435546875,14.3525390625
1785402780.8593566,100,5818.5,6.1,10221.19140625,5.3876953125,14.2568359375
1785402781.4031007,100,5818.5,5.6,10218.2578125,5.53125,14.400390625
1785402781.9460747,100,5818.5,5.4,10219.609375,4.4814453125,6.484375
1785402782.4893372,100,5818.5,5.2,10218.95703125,5.8642578125,12.7783203125
1785402783.0328078,100,5818.5,4.6,10219.421875,5.1494140625,13.494140625
1785402783.576146,100,5818.5,5.8,10217.2421875,4.625,13.58984375
1785402784.1198952,100,5818.5,5.1,10218.09375,5.6259765625,12.826171875
1785402785.1729333,100,5818.5,5.2,10219.50390625,5.1494140625,12.4453125
1785402785.7166376,100,5818.5,3.9,10217.9921875,1.5732421875,4.625
1785402786.2581515,33,5818.5,5.5,9951.36328125,0.5712890625,0.380859375
1785402786.7998383,0,5818.5,5.6,9448.37109375,0.4287109375,0.3330078125
1785402787.3418412,0,5818.5,2.1,9459.1484375,0.4287109375,0.3330078125
1785402787.883592,0,5818.5,1.7,9450.23828125,0.4765625,0.3330078125
1785402788.4252176,0,5818.5,7.6,9445.58984375,1.0009765625,0.3330078125
1785402788.9666595,0,5818.5,3.9,9446.2734375,0.4765625,0.3330078125
1785402789.5083148,0,5818.5,2.6,9451.24609375,0.4765625,0.3330078125
1785402790.0503504,0,5818.5,1.9,9451.98828125,0.4765625,0.3330078125
1785402790.59238,0,5818.5,1.0,9452.5859375,0.4765625,0.3330078125
