timestamp,gpu_util_pct,gpu_mem_used_mb,cpu_util_pct,ram_used_mb
1785402544.5108485,0,5818.5,4.8,9570.68359375
1785402545.0112922,0,5818.5,2.8,9582.73828125
1785402545.5118313,0,5818.5,4.6,9579.00390625
1785402546.012645,0,5818.5,3.0,9581.59375
1785402546.5132973,0,5818.5,3.2,9590.16796875
1785402547.0140297,0,5818.5,2.5,9608.03125
1785402547.5145276,0,5818.5,3.2,9604.8515625
1785402548.015018,0,5818.5,3.0,9604.390625
1785402548.515473,0,5818.5,6.9,9611.390625
1785402549.0159261,0,5818.5,7.8,9612.8671875
1785402549.5165744,0,5818.5,3.1,9609.05859375
1785402550.0171645,0,5818.5,3.4,9609.51171875
1785402550.5176919,0,5818.5,2.4,9624.1484375
1785402551.0181801,0,5818.5,2.7,9626.0
1785402551.518728,0,5818.5,3.9,9618.89453125
1785402552.0195227,0,5818.5,2.4,9618.6484375
1785402552.5200334,0,5818.5,4.3,9624.171875
1785402553.0207212,0,5818.5,3.9,9637.73046875
1785402553.5214114,0,5818.5,1.4,9630.66015625
1785402554.021923,0,5818.5,0.6,9630.66015625
1785402554.5226197,0,5818.5,2.2,9640.05078125
1785402555.0234485,0,5818.5,0.6,9640.05078125
1785402555.5242357,0,5818.5,2.9,9638.2109375
1785402556.0246944,0,5818.5,3.5,9632.921875
1785402556.525439,0,5818.5,1.8,9656.64453125
1785402557.026186,0,5818.5,0.5,9656.7421875
1785402557.5269084,0,5818.5,0.6,9653.29296875
1785402558.0276573,0,5818.5,0.5,9653.29296875
1785402558.5284295,0,5818.5,1.0,9653.921875
1785402559.0290697,0,5818.5,0.6,9651.921875
1785402559.5297596,0,5818.5,0.7,9654.5078125
1785402560.0304246,0,5818.5,0.8,9654.5078125
1785402560.5310497,0,5818.5,0.8,9652.921875
1785402561.0316424,0,5818.5,0.8,9652.67578125
1785402561.5323215,0,5818.5,0.4,9651.19921875
1785402562.0329387,0,5818.5,0.6,9649.83203125
1785402562.53384,0,5818.5,0.9,9646.74609375
1785402563.0342622,0,5818.5,1.8,9651.08984375
1785402563.5346296,0,5818.5,25.7,9780.90234375
1785402564.0349936,0,5818.5,5.8,9848.81640625
1785402564.5353947,0,5818.5,5.9,9932.58984375
1785402565.0385635,0,5818.5,6.4,9996.66796875
1785402565.5391324,0,5818.5,5.5,9966.04296875
1785402566.0397048,0,5818.5,1.2,9968.34375
1785402566.5403974,0,5818.5,2.8,9974.30078125
1785402567.0409863,0,5818.5,0.7,9975.8671875
1785402567.5415645,0,5818.5,0.8,9976.13671875
1785402568.0423555,0,5818.5,0.7,9976.7109375
1785402568.542872,0,5818.5,5.5,10071.078125
1785402569.0433874,0,5818.5,8.5,10272.3359375
1785402569.5439577,0,5818.5,5.3,10279.75
1785402570.0513675,0,5818.5,3.9,10279.41015625
1785402570.551934,100,5818.5,4.7,10274.3359375
1785402571.052475,100,5818.5,4.6,10277.19921875
1785402571.5530033,100,5818.5,7.5,10297.859375
1785402572.0536,100,5818.5,4.9,10298.76953125
1785402572.5539825,100,5818.5,4.7,10322.0234375
1785402573.054483,100,5818.5,6.5,10319.3125
1785402573.5558343,100,5818.5,5.1,10319.30859375
1785402574.0565164,100,5818.5,5.0,10319.94921875
1785402574.5570633,100,5818.5,4.9,10321.64453125
1785402575.057774,100,5818.5,5.2,10325.3046875
1785402575.55848,100,5818.5,4.9,10324.1328125
1785402576.0590484,100,5818.5,5.0,10328.77734375
1785402576.5594997,100,5818.5,6.0,10329.265625
1785402577.0601885,100,5818.5,5.0,10330.30859375
1785402577.560698,100,5818.5,5.1,10329.734375
1785402578.0612466,0,5818.5,3.8,10150.78125
1785402578.5616524,0,5818.5,7.3,9989.4296875
1785402579.0623574,0,5818.5,4.8,9518.20703125
1785402579.5628555,0,5818.5,4.0,9522.94921875
1785402580.0634258,0,5818.5,3.9,9523.015625
1785402580.563907,0,5818.5,4.3,9523.43359375
1785402581.0644562,0,5818.5,4.5,9520.94140625
1785402581.5647554,0,5818.5,3.3,9520.7890625
1785402582.065192,0,5818.5,1.9,9516.47265625
1785402582.5657935,0,5818.5,1.6,9515.359375
1785402583.0664842,0,5818.5,1.6,9506.67578125
1785402583.5671322,0,5818.5,0.8,9507.09375
