timestamp,gpu_util_pct,gpu_mem_used_mb,cpu_util_pct,ram_used_mb
1785412492.226158,0,5440.5625,5.6,10145.82421875
1785412492.7267766,0,5440.5625,5.0,10161.08203125
1785412493.2274325,0,5440.5625,8.5,10169.90625
1785412493.7280896,0,5440.5625,6.8,10176.32421875
1785412494.2287009,0,5440.5625,5.5,10188.04296875
1785412494.7293174,0,5440.5625,2.7,10190.9140625
1785412495.2298217,0,5440.5625,11.1,10179.29296875
1785412495.730533,0,5440.5625,6.4,10195.44921875
1785412496.2311497,0,5440.5625,4.8,10198.015625
1785412496.7314835,0,5440.5625,6.1,10209.65625
1785412497.232125,0,5440.5625,8.1,10213.98828125
1785412497.732599,0,5440.5625,5.1,10184.19921875
1785412498.2344756,0,5440.5625,7.9,10191.65234375
1785412498.7350073,0,5440.5625,5.8,10195.7578125
1785412499.235542,0,5440.5625,7.6,10195.33203125
1785412499.7361681,0,5440.5625,7.6,10193.140625
1785412500.23672,0,5440.5625,3.8,10196.6171875
1785412500.7373369,0,5440.5625,4.5,10198.0625
1785412501.2379193,0,5440.5625,3.3,10198.4609375
1785412501.7382967,0,5440.5625,25.2,10253.765625
1785412502.2386475,0,5440.5625,6.8,10334.93359375
1785412502.7389324,0,5440.5625,7.9,10373.53125
1785412503.2393072,0,5440.5625,6.6,10430.05859375
1785412503.7396543,0,5440.5625,6.9,10445.53515625
1785412504.2399342,0,5440.5625,6.9,10508.43359375
1785412504.7405229,0,5440.5625,4.3,10509.8828125
1785412505.2410192,0,5440.5625,3.3,10511.1171875
1785412505.7416284,0,5440.5625,4.3,10522.85546875
1785412506.242198,0,5440.5625,2.6,10525.88671875
1785412506.7426932,0,5440.5625,4.3,10628.890625
1785412507.2430077,0,5440.5625,8.2,10829.7734375
1785412507.7434106,0,5440.5625,6.8,10839.08203125
1785412508.2439167,0,5440.5625,4.8,10840.35546875
1785412508.744289,0,5440.5625,7.0,10835.2109375
1785412509.2449,100,5440.5625,6.5,10832.21875
1785412509.745486,100,5440.5625,5.3,10839.80078125
1785412510.2460792,100,5440.5625,6.2,10857.9765625
1785412510.746363,100,5440.5625,12.7,10862.42578125
1785412511.2469115,100,5440.5625,5.7,10871.09765625
1785412511.7474937,100,5440.5625,6.2,10877.83203125
1785412512.247801,100,5440.5625,7.3,10985.96484375
1785412512.7482698,100,5440.5625,7.0,10992.53125
1785412513.2486517,100,5440.5625,7.2,10996.4296875
1785412513.7491486,100,5440.5625,6.4,10997.375
1785412514.249709,100,5440.5625,6.4,11011.62109375
1785412514.7502892,100,5440.5625,4.3,11011.17578125
1785412515.2507093,100,5440.5625,4.7,11011.16015625
1785412515.7512968,100,5440.5625,5.6,11014.00390625
1785412516.2518907,100,5440.5625,6.3,11022.9375
1785412516.752431,100,5440.5625,6.3,11026.28515625
1785412517.252907,100,5440.5625,6.1,11050.609375
1785412517.7535257,100,5440.5625,5.4,11048.015625
1785412518.2539196,100,5440.5625,7.9,11110.5390625
1785412518.7543006,100,5440.5625,7.5,11107.77734375
1785412519.2546895,100,5440.5625,7.4,11115.1953125
1785412519.7553182,100,5440.5625,7.8,11130.0546875
1785412520.2558827,100,5440.5625,7.0,11143.3046875
1785412520.7564166,100,5440.5625,6.5,11145.734375
1785412521.2569566,100,5440.5625,5.4,11144.75390625
1785412521.7574475,100,5440.5625,6.5,11146.62890625
1785412522.2579467,100,5440.5625,5.1,11153.1796875
1785412522.7584481,100,5440.5625,5.7,11134.36328125
1785412523.258923,100,5440.5625,5.0,11131.68359375
1785412523.7592742,100,5440.5625,5.6,11133.875
1785412524.2595947,100,5440.5625,8.5,11144.67578125
1785412524.7599611,100,5440.5625,8.0,11169.69140625
1785412525.2605364,100,5440.5625,8.2,11178.2734375
1785412525.7608566,100,5440.5625,9.2,11226.71875
1785412526.2615008,100,5440.5625,9.6,11216.828125
1785412526.76209,100,5440.5625,7.3,11219.4609375
1785412527.262527,100,5440.5625,7.3,11309.71484375
1785412527.7628767,100,5440.5625,6.5,11350.453125
1785412528.2632148,100,5440.5625,8.5,11468.1328125
1785412528.763542,100,5440.5625,8.8,11467.78515625
1785412529.2638896,99,5440.5625,8.4,11207.125
1785412529.764312,0,5440.5625,8.7,11199.875
1785412530.2649627,0,5440.5625,7.8,10703.37109375
1785412530.7656448,0,5440.5625,7.3,10709.84765625
1785412531.266289,0,5440.5625,6.1,10713.41796875
1785412531.766892,0,5440.5625,3.8,10714.828125
1785412532.2674143,0,5440.5625,3.7,10711.8359375
1785412532.76802,0,5440.5625,3.8,10722.0546875
1785412533.2686162,0,5440.5625,3.5,10725.76953125
1785412533.769234,0,5440.5625,4.2,10721.30078125
1785412534.2697873,0,5440.5625,3.7,10735.640625
1785412534.7703881,0,5440.5625,3.8,10718.69921875
1785412535.270986,0,5440.5625,3.7,10730.92578125
1785412535.7715607,0,5440.5625,5.7,10747.9765625
1785412536.2721677,0,5440.5625,5.9,10742.94140625
1785412536.7727206,0,5440.5625,4.5,10740.01953125
1785412537.273261,0,5440.5625,3.7,10743.1171875
