timestamp, utilization.gpu [%], memory.used [MiB]
2026/07/26 00:25:14.043, 0 %, 6865 MiB
2026/07/26 00:25:15.043, 0 %, 6865 MiB
2026/07/26 00:25:16.043, 0 %, 6865 MiB
2026/07/26 00:25:17.044, 0 %, 6865 MiB
2026/07/26 00:25:18.044, 0 %, 6865 MiB
2026/07/26 00:25:19.044, 0 %, 6865 MiB
2026/07/26 00:25:20.045, 0 %, 6865 MiB
2026/07/26 00:25:21.045, 0 %, 6865 MiB
2026/07/26 00:25:22.045, 0 %, 6865 MiB
2026/07/26 00:25:23.045, 0 %, 6865 MiB
2026/07/26 00:25:24.045, 0 %, 6865 MiB
2026/07/26 00:25:25.046, 0 %, 6865 MiB
2026/07/26 00:25:26.046, 0 %, 6865 MiB
2026/07/26 00:25:27.046, 0 %, 6865 MiB
2026/07/26 00:25:28.046, 0 %, 6865 MiB
2026/07/26 00:25:29.047, 0 %, 6865 MiB
2026/07/26 00:25:30.047, 0 %, 6865 MiB
2026/07/26 00:25:31.047, 0 %, 6865 MiB
2026/07/26 00:25:32.047, 0 %, 6865 MiB
2026/07/26 00:25:33.048, 0 %, 6865 MiB
2026/07/26 00:25:34.048, 0 %, 6865 MiB
2026/07/26 00:25:35.048, 0 %, 6865 MiB
2026/07/26 00:25:36.049, 0 %, 6865 MiB
2026/07/26 00:25:37.049, 0 %, 6865 MiB
2026/07/26 00:25:38.049, 0 %, 6865 MiB
2026/07/26 00:25:39.049, 0 %, 6865 MiB
2026/07/26 00:25:40.050, 0 %, 6865 MiB
2026/07/26 00:25:41.050, 0 %, 6865 MiB
2026/07/26 00:25:42.050, 0 %, 6865 MiB
2026/07/26 00:25:43.050, 0 %, 6865 MiB
2026/07/26 00:25:44.051, 0 %, 6865 MiB
2026/07/26 00:25:45.051, 0 %, 6865 MiB
2026/07/26 00:25:46.051, 0 %, 6865 MiB
2026/07/26 00:25:47.051, 0 %, 6865 MiB
2026/07/26 00:25:48.052, 0 %, 6865 MiB
2026/07/26 00:25:49.052, 0 %, 6865 MiB
2026/07/26 00:25:50.052, 0 %, 6865 MiB
2026/07/26 00:25:51.053, 0 %, 6865 MiB
2026/07/26 00:25:52.053, 0 %, 6865 MiB
2026/07/26 00:25:53.053, 0 %, 6865 MiB
2026/07/26 00:25:54.053, 0 %, 6865 MiB
2026/07/26 00:25:55.054, 0 %, 6865 MiB
2026/07/26 00:25:56.054, 0 %, 6865 MiB
2026/07/26 00:25:57.054, 0 %, 6865 MiB
2026/07/26 00:25:58.055, 0 %, 6865 MiB
2026/07/26 00:25:59.055, 0 %, 6865 MiB
2026/07/26 00:26:00.055, 0 %, 6865 MiB
2026/07/26 00:26:01.055, 0 %, 6865 MiB
2026/07/26 00:26:02.056, 0 %, 6865 MiB
2026/07/26 00:26:03.056, 0 %, 6865 MiB
2026/07/26 00:26:04.056, 0 %, 6865 MiB
2026/07/26 00:26:05.057, 0 %, 6865 MiB
2026/07/26 00:26:06.057, 0 %, 6865 MiB
2026/07/26 00:26:07.057, 0 %, 6865 MiB
